"Carrier","Departure Delay","Arrival Delay"
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-28.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-29.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-3.00
"AA",-1.00,-30.00
"AA",-1.00,-30.00
"AA",-1.00,-30.00
"AA",-1.00,-30.00
"AA",-1.00,-30.00
